memory_ratio,compress_ratio,miss_cost,load_dist,min_lat_pc_size,min_lat_pc_size_gb,min_lat,zero_ac_lat,zero_pc_lat,zero_ac_lat_to_min_lat,zero_pc_lat_to_min_lat,d_u,d_c
0.1,0.45,50,0,0.1,0.2222,741831884.0,741831884.0,751883946.0,1.0,1.013550323485422,10.0,4.5
0.1,0.45,50,1,0.1,0.2222,431033649.0,431033649.0,581686008.0,1.0,1.3495141489522087,10.0,4.5
0.1,0.45,100,0,0.0,0.0,976920246.0,991831884.0,976920246.0,1.0152639256490545,1.0,10.0,4.5
0.1,0.45,100,1,0.1,0.2222,681033531.0,681033531.0,755442358.0,1.0,1.1092586834758948,10.0,4.5
0.1,0.5,10,0,0.1,0.2,559993700.0,559993700.0,574328273.0,1.0,1.0255977397602867,10.0,5.0
0.1,0.5,10,1,0.1,0.2,259487353.0,259487353.0,444605810.0,1.0,1.7134006912467907,10.0,5.0
0.1,0.5,50,0,0.0,0.0,754357313.0,759993700.0,754357313.0,1.007471773525446,1.0,10.0,5.0
0.1,0.5,50,1,0.1,0.2,459486993.0,459486993.0,583610890.0,1.0,1.27013582297421,10.0,5.0
0.1,0.5,100,0,0.0,0.0,979393613.0,1009993700.0,979393613.0,1.031243911124015,1.0,10.0,5.0
0.1,0.5,100,1,0.1,0.2,709486868.0,709486868.0,757367240.0,1.0,1.0674859171600621,10.0,5.0
0.1,0.55,10,0,0.1,0.1818,570206946.0,570206946.0,576818332.0,1.0,1.0115947131938305,10.0,5.5
0.1,0.55,10,1,0.1,0.1818,292534734.0,292534734.0,446514454.0,1.0,1.5263638881255037,10.0,5.5
0.1,0.55,50,0,0.0,0.0,756847372.0,770206866.0,756847372.0,1.017651503452667,1.0,10.0,5.5
0.1,0.55,50,1,0.1,0.1818,492534109.0,492534109.0,585519534.0,1.0,1.1887898184123529,10.0,5.5
0.1,0.55,100,0,0.0,0.0,981883672.0,1020206770.0,981883672.0,1.0390301815712442,1.0,10.0,5.5
0.1,0.55,100,1,0.1,0.1818,742533928.0,742533928.0,759275884.0,1.0,1.0225470586173673,10.0,5.5
0.1,0.6,10,0,0.0,0.0,579295859.0,579317600.0,579295859.0,1.0000375300455928,1.0,10.0,6.0
0.1,0.6,10,1,0.1,0.1667,325256297.0,325256297.0,448409548.0,1.0,1.3786344865138769,10.0,6.0
0.1,0.6,50,0,0.0,0.0,759324899.0,779317600.0,759324899.0,1.0263295738442524,1.0,10.0,6.0
0.1,0.6,50,1,0.1,0.1667,525255763.0,525255763.0,587414628.0,1.0,1.1183401865883003,10.0,6.0
0.1,0.6,100,0,0.0,0.0,984361199.0,1029317600.0,984361199.0,1.0456706349718687,1.0,10.0,6.0
0.1,0.6,100,1,0.0,0.0,761170978.0,775255595.0,761170978.0,1.0185038807404452,1.0,10.0,6.0
0.1,0.65,10,0,0.0,0.0,581784631.0,588068534.0,581784631.0,1.0108010811306565,1.0,10.0,6.5
0.1,0.65,10,1,0.1,0.1538,355762377.0,355762377.0,450328726.0,1.0,1.2658132369067232,10.0,6.5
0.1,0.65,50,0,0.0,0.0,761813671.0,788068534.0,761813671.0,1.0344636280490167,1.0,10.0,6.5
0.1,0.65,50,1,0.1,0.1538,555761717.0,555761717.0,589333806.0,1.0,1.060407343602618,10.0,6.5
0.1,0.65,100,0,0.0,0.0,986849971.0,1038068534.0,986849971.0,1.0519010634900248,1.0,10.0,6.5
0.1,0.65,100,1,0.0,0.0,763090156.0,805761353.0,763090156.0,1.0559189457031863,1.0,10.0,6.5
0.1,0.7,10,0,0.0,0.0,584222314.0,596452347.0,584222314.0,1.0209338683356075,1.0,10.0,7.0
0.1,0.7,10,1,0.1,0.1429,383224930.0,383224930.0,452259812.0,1.0,1.1801419390956638,10.0,7.0
0.1,0.7,50,0,0.0,0.0,764251354.0,796452267.0,764251354.0,1.0421339299321672,1.0,10.0,7.0
0.1,0.7,50,1,0.1,0.1429,583224116.0,583224116.0,591264892.0,1.0,1.01378676872134,10.0,7.0
