memory_ratio,pc_size,compress_ratio,miss_cost,load_dist,total_latency
0.4,0.0,0.2,10,0,110113433.0
0.4,0.02,0.2,10,0,70245854.0
0.4,0.04,0.2,10,0,68853684.0
0.4,0.06,0.2,10,0,67493181.0
0.4,0.08,0.2,10,0,65837463.0
0.4,0.1,0.2,10,0,61827351.0
0.4,0.12,0.2,10,0,56351914.0
0.4,0.14,0.2,10,0,50241597.0
0.4,0.16,0.2,10,0,43257774.0
0.4,0.18,0.2,10,0,36681812.0
0.4,0.2,0.2,10,0,28889564.0
0.4,0.22,0.2,10,0,31533877.0
0.4,0.24,0.2,10,0,34356842.0
0.4,0.26,0.2,10,0,37334907.0
0.4,0.28,0.2,10,0,40440167.0
0.4,0.3,0.2,10,0,43645576.0
0.4,0.32,0.2,10,0,46949288.0
0.4,0.34,0.2,10,0,50348353.0
0.4,0.36,0.2,10,0,53824521.0
0.4,0.38,0.2,10,0,57382447.0
0.4,0.4,0.2,10,0,60999803.0
0.4,0.0,0.2,20,0,118761723.0
0.4,0.02,0.2,20,0,79360834.0
0.4,0.04,0.2,20,0,78535039.0
0.4,0.06,0.2,20,0,77885808.0
0.4,0.08,0.2,20,0,77125519.0
0.4,0.1,0.2,20,0,74213143.0
0.4,0.12,0.2,20,0,70078213.0
0.4,0.14,0.2,20,0,65530269.0
0.4,0.16,0.2,20,0,60350344.0
0.4,0.18,0.2,20,0,55792820.0
0.4,0.2,0.2,20,0,50219734.0
0.4,0.22,0.2,20,0,55225237.0
0.4,0.24,0.2,20,0,60568682.0
0.4,0.26,0.2,20,0,66205597.0
0.4,0.28,0.2,20,0,72083587.0
0.4,0.3,0.2,20,0,78151076.0
0.4,0.32,0.2,20,0,84404628.0
0.4,0.34,0.2,20,0,90838383.0
0.4,0.36,0.2,20,0,97418241.0
0.4,0.38,0.2,20,0,104152847.0
0.4,0.4,0.2,20,0,110999803.0
0.4,0.0,0.2,30,0,127410013.0
0.4,0.02,0.2,30,0,88483739.0
0.4,0.04,0.2,30,0,88227301.0
0.4,0.06,0.2,30,0,88292398.0
0.4,0.08,0.2,30,0,88430867.0
0.4,0.1,0.2,30,0,86621838.0
0.4,0.12,0.2,30,0,83827506.0
0.4,0.14,0.2,30,0,80842532.0
0.4,0.16,0.2,30,0,77461829.0
0.4,0.18,0.2,30,0,74912705.0
0.4,0.2,0.2,30,0,71549904.0
0.4,0.22,0.2,30,0,78916597.0
0.4,0.24,0.2,30,0,86780522.0
0.4,0.26,0.2,30,0,95076287.0
0.4,0.28,0.2,30,0,103727007.0
0.4,0.3,0.2,30,0,112656576.0
0.4,0.32,0.2,30,0,121859968.0
0.4,0.34,0.2,30,0,131328413.0
0.4,0.36,0.2,30,0,141011961.0
0.4,0.38,0.2,30,0,150923247.0
0.4,0.4,0.2,30,0,160999803.0
0.4,0.0,0.2,40,0,136058303.0
0.4,0.02,0.2,40,0,97609129.0
0.4,0.04,0.2,40,0,97924484.0
0.4,0.06,0.2,40,0,98706249.0
0.4,0.08,0.2,40,0,99745646.0
0.4,0.1,0.2,40,0,99041782.0
0.4,0.12,0.2,40,0,97587134.0
0.4,0.14,0.2,40,0,96162925.0
0.4,0.16,0.2,40,0,94578480.0
0.4,0.18,0.2,40,0,94033834.0
0.4,0.2,0.2,40,0,92880074.0
0.4,0.22,0.2,40,0,102607957.0
0.4,0.24,0.2,40,0,112992362.0
0.4,0.26,0.2,40,0,123946977.0
0.4,0.28,0.2,40,0,135370427.0
0.4,0.3,0.2,40,0,147162076.0
0.4,0.32,0.2,40,0,159315308.0
0.4,0.34,0.2,40,0,171818443.0
0.4,0.36,0.2,40,0,184605681.0
0.4,0.38,0.2,40,0,197693647.0
0.4,0.4,0.2,40,0,210999803.0
0.4,0.0,0.2,50,0,144706593.0
0.4,0.02,0.2,50,0,106735611.0
0.4,0.04,0.2,50,0,107623580.0
0.4,0.06,0.2,50,0,109122424.0
0.4,0.08,0.2,50,0,111063422.0
0.4,0.1,0.2,50,0,111464314.0
0.4,0.12,0.2,50,0,111349173.0
0.4,0.14,0.2,50,0,111485130.0
0.4,0.16,0.2,50,0,111696163.0
0.4,0.18,0.2,50,0,113155452.0
0.4,0.2,0.2,50,0,114210244.0
0.4,0.22,0.2,50,0,126299317.0
0.4,0.24,0.2,50,0,139204202.0
0.4,0.26,0.2,50,0,152817667.0
0.4,0.28,0.2,50,0,167013847.0
0.4,0.3,0.2,50,0,181667576.0
0.4,0.32,0.2,50,0,196770648.0
0.4,0.34,0.2,50,0,212308473.0
0.4,0.36,0.2,50,0,228199401.0
0.4,0.38,0.2,50,0,244464047.0
0.4,0.4,0.2,50,0,260999803.0
0.4,0.0,0.2,60,0,153354883.0
0.4,0.02,0.2,60,0,115862470.0
0.4,0.04,0.2,60,0,117323463.0
0.4,0.06,0.2,60,0,119539655.0
0.4,0.08,0.2,60,0,122382481.0
0.4,0.1,0.2,60,0,123888413.0
0.4,0.12,0.2,60,0,125112835.0
0.4,0.14,0.2,60,0,126808505.0
0.4,0.16,0.2,60,0,128814864.0
0.4,0.18,0.2,60,0,132277377.0
0.4,0.2,0.2,60,0,135540414.0
0.4,0.22,0.2,60,0,149990677.0
0.4,0.24,0.2,60,0,165416042.0
0.4,0.26,0.2,60,0,181688357.0
0.4,0.28,0.2,60,0,198657267.0
0.4,0.3,0.2,60,0,216173076.0
0.4,0.32,0.2,60,0,234225988.0
0.4,0.34,0.2,60,0,252798503.0
0.4,0.36,0.2,60,0,271793121.0
0.4,0.38,0.2,60,0,291234447.0
0.4,0.4,0.2,60,0,310999803.0
0.4,0.0,0.2,70,0,162003173.0
0.4,0.02,0.2,70,0,124989611.0
0.4,0.04,0.2,70,0,127023787.0
0.4,0.06,0.2,70,0,129957703.0
0.4,0.08,0.2,70,0,133702497.0
0.4,0.1,0.2,70,0,136313418.0
0.4,0.12,0.2,70,0,138877480.0
0.4,0.14,0.2,70,0,142132653.0
0.4,0.16,0.2,70,0,145934259.0
0.4,0.18,0.2,70,0,151399447.0
0.4,0.2,0.2,70,0,156870584.0
0.4,0.22,0.2,70,0,173682037.0
0.4,0.24,0.2,70,0,191627882.0
0.4,0.26,0.2,70,0,210559047.0
0.4,0.28,0.2,70,0,230300687.0
0.4,0.3,0.2,70,0,250678576.0
0.4,0.32,0.2,70,0,271681328.0
0.4,0.34,0.2,70,0,293288533.0
0.4,0.36,0.2,70,0,315386841.0
0.4,0.38,0.2,70,0,338004847.0
0.4,0.4,0.2,70,0,360999803.0
0.4,0.0,0.2,80,0,170651463.0
0.4,0.02,0.2,80,0,134117097.0
0.4,0.04,0.2,80,0,136724548.0
0.4,0.06,0.2,80,0,140376349.0
0.4,0.08,0.2,80,0,145023177.0
0.4,0.1,0.2,80,0,148739029.0
0.4,0.12,0.2,80,0,152642430.0
0.4,0.14,0.2,80,0,157457113.0
0.4,0.16,0.2,80,0,163053830.0
0.4,0.18,0.2,80,0,170521537.0
0.4,0.2,0.2,80,0,178200754.0
0.4,0.22,0.2,80,0,197373397.0
0.4,0.24,0.2,80,0,217839722.0
0.4,0.26,0.2,80,0,239429737.0
0.4,0.28,0.2,80,0,261944107.0
0.4,0.3,0.2,80,0,285184076.0
0.4,0.32,0.2,80,0,309136668.0
0.4,0.34,0.2,80,0,333778563.0
0.4,0.36,0.2,80,0,358980561.0
0.4,0.38,0.2,80,0,384775247.0
0.4,0.4,0.2,80,0,410999803.0
0.4,0.0,0.2,90,0,179299753.0
0.4,0.02,0.2,90,0,143244651.0
0.4,0.04,0.2,90,0,146425411.0
0.4,0.06,0.2,90,0,150795104.0
0.4,0.08,0.2,90,0,156343895.0
0.4,0.1,0.2,90,0,161164649.0
0.4,0.12,0.2,90,0,166407380.0
0.4,0.14,0.2,90,0,172781573.0
0.4,0.16,0.2,90,0,180173410.0
0.4,0.18,0.2,90,0,189643627.0
0.4,0.2,0.2,90,0,199530924.0
0.4,0.22,0.2,90,0,221064757.0
0.4,0.24,0.2,90,0,244051562.0
0.4,0.26,0.2,90,0,268300427.0
0.4,0.28,0.2,90,0,293587527.0
0.4,0.3,0.2,90,0,319689576.0
0.4,0.32,0.2,90,0,346592008.0
0.4,0.34,0.2,90,0,374268593.0
0.4,0.36,0.2,90,0,402574281.0
0.4,0.38,0.2,90,0,431545647.0
0.4,0.4,0.2,90,0,460999803.0
0.4,0.0,0.2,100,0,187948043.0
0.4,0.02,0.2,100,0,152372229.0
0.4,0.04,0.2,100,0,156126301.0
0.4,0.06,0.2,100,0,161213888.0
0.4,0.08,0.2,100,0,167664625.0
0.4,0.1,0.2,100,0,173590284.0
0.4,0.12,0.2,100,0,180172337.0
0.4,0.14,0.2,100,0,188106038.0
0.4,0.16,0.2,100,0,197292990.0
0.4,0.18,0.2,100,0,208765717.0
0.4,0.2,0.2,100,0,220861094.0
0.4,0.22,0.2,100,0,244756117.0
0.4,0.24,0.2,100,0,270263402.0
0.4,0.26,0.2,100,0,297171117.0
0.4,0.28,0.2,100,0,325230947.0
0.4,0.3,0.2,100,0,354195076.0
0.4,0.32,0.2,100,0,384047348.0
0.4,0.34,0.2,100,0,414758623.0
0.4,0.36,0.2,100,0,446168001.0
0.4,0.38,0.2,100,0,478316047.0
0.4,0.4,0.2,100,0,510999803.0
0.4,0.0,0.5,10,0,111625013.0
0.4,0.02,0.5,10,0,77833635.0
0.4,0.04,0.5,10,0,81593024.0
0.4,0.06,0.5,10,0,86125793.0
0.4,0.08,0.5,10,0,91282564.0
0.4,0.1,0.5,10,0,96066502.0
0.4,0.12,0.5,10,0,99448710.0
0.4,0.14,0.5,10,0,100372284.0
0.4,0.16,0.5,10,0,99475881.0
0.4,0.18,0.5,10,0,97618089.0
0.4,0.2,0.5,10,0,95386895.0
0.4,0.22,0.5,10,0,93515450.0
0.4,0.24,0.5,10,0,90146789.0
0.4,0.26,0.5,10,0,86957149.0
0.4,0.28,0.5,10,0,85017261.0
0.4,0.3,0.5,10,0,84192880.0
0.4,0.32,0.5,10,0,84001072.0
0.4,0.34,0.5,10,0,84005530.0
0.4,0.36,0.5,10,0,85109973.0
0.4,0.38,0.5,10,0,84900136.0
0.4,0.4,0.5,10,0,85131267.0
0.4,0.0,0.5,20,0,120273303.0
0.4,0.02,0.5,20,0,85976359.0
0.4,0.04,0.5,20,0,90351106.0
0.4,0.06,0.5,20,0,95635168.0
0.4,0.08,0.5,20,0,101703964.0
0.4,0.1,0.5,20,0,107586024.0
0.4,0.12,0.5,20,0,112294867.0
0.4,0.14,0.5,20,0,114783820.0
0.4,0.16,0.5,20,0,115717288.0
0.4,0.18,0.5,20,0,115935592.0
0.4,0.2,0.5,20,0,116013121.0
0.4,0.22,0.5,20,0,116588008.0
